City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,jertih,20,MY,1576121840,78,5.74,102.5,82.4,2.24
88,albany,20,US,1576121359,46,42.65,-73.75,30.0,13.87
89,port hedland,100,CD,1576121383,70,-7.04,29.76,75.29,7.34
90,port alfred,100,CD,1576121383,70,-7.04,29.76,75.29,7.34
91,ahipara,0,NZ,1576121841,66,-35.17,173.16,81.0,1.01
92,georgetown,90,GY,1576121552,100,6.8,-58.16,75.2,2.24
93,dibulla,100,CO,1576121841,79,11.27,-73.31,80.56,22.53
94,port elizabeth,100,CD,1576121533,70,-7.04,29.76,75.29,7.34
95,victoria,75,BN,1576121413,79,5.28,115.24,84.2,4.7
96,wakkanai,75,JP,1576121841,92,45.41,141.67,32.0,38.03
97,cape town,35,CL,1576121526,88,-36.41,-71.9,55.0,3.0
98,bouar,0,CF,1576121841,30,5.94,15.59,65.53,3.02
99,kruisfontein,69,ZA,1576121522,90,-34.0,24.73,61.93,8.12
100,andreyevo,32,RU,1576121841,57,55.95,41.15,25.99,3.18
101,barcelos,100,BR,1576121841,96,-0.97,-62.93,74.14,0.94
102,hlobyne,100,UA,1576121841,91,49.39,33.25,38.98,7.2
103,fortuna,90,US,1576121554,87,40.6,-124.16,57.99,20.8
104,altamira,7,BR,1576121842,93,-3.2,-52.21,73.47,2.19
105,klaksvik,0,FO,1576121549,93,62.23,-6.59,37.4,16.11
106,doha,35,QA,1576121708,64,25.29,51.53,69.8,8.05
107,lakatoro,100,VU,1576121842,66,-16.11,167.42,78.91,11.81
108,seoul,1,KR,1576121301,31,37.57,126.98,37.4,1.12
109,bubaque,71,GW,1576121842,71,11.28,-15.83,80.47,8.75
110,bambous virieux,75,MU,1576121559,83,-20.26,57.41,81.0,8.05
111,pangkalanbuun,20,ID,1576121575,50,-2.68,111.62,91.94,1.99
112,gat,96,SN,1576121842,25,14.69,-16.54,75.2,11.41
113,mar del plata,54,CN,1576121522,20,29.86,90.73,20.53,1.43
114,ndjole,100,GA,1576121842,97,-0.18,10.76,71.87,1.57
115,chino valley,20,JP,1576121843,37,35.99,138.16,50.0,19.46
116,halifax,90,CA,1576121627,100,44.65,-63.58,26.01,2.24
117,garden city,75,DE,1576121843,97,53.69,12.05,37.0,3.36
118,torbay,90,CA,1576121551,92,47.66,-52.73,30.0,12.75
119,rockhampton,0,AU,1576121843,32,-23.38,150.51,95.0,6.93
120,chokurdakh,100,RU,1576121528,96,70.62,147.9,-21.59,4.0
121,tautira,40,PF,1576121544,78,-17.73,-149.15,80.6,4.7
122,ribeira grande,75,PT,1576121569,93,41.76,-8.56,60.01,9.17
123,wagar,0,US,1576121843,82,31.44,-87.99,41.0,5.68
124,thinadhoo,97,MV,1576121843,73,0.53,72.93,82.29,8.1
125,sioux lookout,1,US,1576121843,71,46.74,-90.88,3.99,5.82
126,mayo,75,CA,1576121843,92,63.59,-135.9,24.8,3.36
127,cascais,40,PT,1576121844,87,38.7,-9.42,53.6,6.93
128,auki,0,NG,1576121844,15,12.18,6.51,63.59,10.04
129,cumana,100,VE,1576121605,100,10.46,-64.17,66.2,10.29
130,esmeraldas,75,BR,1576121844,94,-19.76,-44.31,71.6,6.93
131,arraial do cabo,20,BR,1576121543,88,-22.84,-46.65,66.2,5.82
132,wajid,0,SO,1576121844,72,3.81,43.25,74.77,7.49
133,nioro,100,GM,1576121844,17,13.79,-15.05,74.71,9.26
134,pisco,90,PE,1576121274,88,-13.71,-76.2,66.2,14.99
135,mahebourg,75,MU,1576121519,83,-20.41,57.7,81.0,8.05
136,panlaitan,100,PH,1576121844,66,12.12,119.85,83.95,2.73
137,tefe,100,BR,1576121844,92,-3.35,-64.71,73.87,1.39
138,bilma,67,NE,1576121845,29,18.69,12.92,57.61,19.22
139,majholi,100,IN,1576121845,72,23.5,79.93,66.2,9.17
140,sao jose da coroa grande,7,IN,1576121559,58,20.51,76.21,71.78,14.52
141,upernavik,0,GL,1576121239,61,72.79,-56.15,1.54,6.06
142,ironton,1,US,1576121845,92,38.54,-82.68,28.4,3.36
143,merauke,100,ID,1576121845,48,-8.49,140.4,93.31,5.55
144,cidreira,17,BR,1576121535,91,-30.17,-50.22,73.26,26.66
145,vestmanna,12,FO,1576121719,93,62.16,-7.17,37.4,16.11
146,poum,75,MK,1576121559,91,41.28,20.71,39.2,5.82
147,kodiak,1,US,1576121521,68,39.95,-94.76,37.0,9.17
148,kimbe,97,PG,1576121550,61,-5.56,150.15,87.58,6.29
149,grand island,75,FR,1576121845,93,48.39,5.49,39.2,12.75
150,saint-augustin,20,CA,1576121564,48,45.63,-73.98,21.2,13.87
151,cervo,100,BR,1576121846,94,-22.19,-46.24,62.22,1.01
152,oneonta,39,US,1576121846,58,42.45,-75.06,21.99,4.0
153,westport,1,US,1576121763,55,41.14,-73.36,35.01,11.41
154,kaduqli,95,SD,1576121846,19,11.01,29.72,75.07,12.39
155,corinto,75,CO,1576121846,83,3.17,-76.26,71.6,6.93
156,khatanga,100,RU,1576121558,87,71.98,102.47,-8.46,7.83
157,yelizovo,3,RU,1576121846,62,53.19,158.38,19.4,6.71
158,hambantota,40,LK,1576121558,88,6.12,81.12,80.6,3.36
159,ahuimanu,90,US,1576121846,74,21.44,-157.84,80.6,4.7
160,labuhan,72,ID,1576121540,77,-2.54,115.51,83.93,2.17
161,tonantins,93,BR,1576121846,93,-2.86,-67.77,73.54,1.28
162,kostino,90,BG,1576121847,93,41.7,25.3,48.99,4.9
163,ulladulla,40,AU,1576121847,49,-35.36,150.48,75.0,12.75
164,camacha,75,PT,1576121576,72,33.08,-16.33,62.6,9.17
165,mehamn,81,NO,1576121567,86,71.03,27.85,28.53,14.54
166,mogadishu,0,SO,1576121562,81,2.04,45.34,81.39,11.79
167,yenagoa,90,NG,1576121847,94,4.92,6.26,75.45,2.26
168,touros,75,BR,1576121847,78,-5.2,-35.46,78.8,6.93
169,santa maria,0,PH,1576121575,58,17.49,120.43,83.68,8.97
170,brae,98,GB,1576121847,86,60.4,-1.35,39.2,28.86
171,alekseyevka,75,RU,1576121847,79,53.25,50.49,26.6,13.42
172,hasaki,20,JP,1576121459,52,35.73,140.83,66.0,11.41
173,leningradskiy,48,RU,1576121429,92,69.38,178.42,20.1,11.72
174,kahului,40,US,1576121433,62,20.89,-156.47,84.2,10.29
175,nadym,100,RU,1576121848,95,65.53,72.51,19.17,12.84
176,qurbus,75,TN,1576121848,76,36.82,10.57,53.6,11.41
177,cochabamba,90,BO,1576121848,60,-17.39,-66.16,68.0,4.7
178,verkhoyansk,0,RU,1576121848,92,67.55,133.39,-37.52,0.76
179,kichera,100,RU,1576121848,94,55.93,110.1,10.9,0.76
180,grants,1,US,1576121848,86,35.15,-107.85,26.6,8.41
181,coquimbo,0,CL,1576121561,87,-29.95,-71.34,57.2,8.05
182,mount gambier,42,GB,1576121522,84,53.66,-1.85,36.0,4.7
183,avera,1,US,1576121529,80,33.19,-82.53,44.6,4.7
184,machaneng,18,BW,1576121849,55,-23.19,27.49,70.45,1.21
185,kudahuvadhoo,74,MV,1576121849,79,2.67,72.89,80.04,9.13
186,port-gentil,100,GA,1576121849,83,-0.72,8.78,79.54,14.65
187,yellowknife,20,CA,1576121430,73,62.45,-114.38,-20.99,2.24
188,shubarshi,99,KZ,1576121849,82,48.59,57.19,23.4,5.86
189,mudgee,40,AU,1576121849,16,-32.6,149.59,88.0,16.11
190,shakhovskaya,100,RU,1576121849,96,56.03,35.51,34.02,8.77
191,eregli,100,TR,1576121580,86,37.51,34.05,42.03,2.55
192,zhangzhou,0,CN,1576121849,48,24.51,117.65,66.2,13.42
193,yerbogachen,98,RU,1576121561,97,61.28,108.01,-1.12,3.04
194,tarakan,100,ID,1576121715,64,3.3,117.63,86.68,2.48
195,salvador,20,BR,1576121850,74,-12.98,-38.48,80.6,8.05
196,guapiles,75,CR,1576121814,77,10.22,-83.79,69.8,9.17
197,dunedin,68,NZ,1576121409,83,-45.87,170.5,60.01,20.0
198,saldanha,99,PT,1576121518,93,41.42,-6.55,41.36,11.03
199,chuy,0,UY,1576121339,66,-33.69,-53.46,72.27,10.67
200,seminole,1,US,1576121850,84,32.72,-102.64,43.0,9.17
201,panguna,100,PG,1576121850,86,-6.32,155.48,79.3,4.07
202,lagoa,0,PT,1576121850,76,37.14,-8.45,53.01,10.29
203,college,1,US,1576121520,92,64.86,-147.8,28.4,4.83
204,mys shmidta,85,RU,1576121539,85,62.06,48.62,17.6,6.33
205,iwaki,75,JP,1576121851,57,37.05,140.89,57.99,18.34
206,guerrero negro,4,AR,1576121587,69,-24.19,-65.45,73.4,8.05
207,hami,1,CN,1576121851,40,42.84,93.51,27.66,1.23
208,saint-philippe,1,CA,1576121542,53,45.36,-73.48,21.2,23.04
209,tarko-sale,100,RU,1576121851,92,64.92,77.78,26.01,7.76
210,flinders,40,AU,1576121564,49,-34.58,150.85,75.0,12.75
211,sorland,86,NO,1576121592,68,67.67,12.69,42.64,21.7
212,narsaq,100,GL,1576121429,29,60.91,-46.05,35.6,20.8
213,belmonte,100,PT,1576121552,80,40.36,-7.35,46.99,6.82
